"site","year","med","ci.lo95","ci.hi95"
"LCW",2014,0.067634388666468,0.00284735934987662,0.590679712846791
"LCW",2015,0.0709250387447005,0.00378483727837844,0.536797067118603
"LCW",2016,0.0654342325915296,0.0028835078440186,0.656419288008561
"LCW",2017,0.037239578070006,0.00222430123813366,0.306988584031905
"LCW",2018,0.0761172518284675,0.00598090630666745,0.445277850423244
"LCW",2019,0.0403312378035002,0.00798483329318247,0.159550012309089
"LO",2006,0.102384133440714,0.00713609331344958,0.560978903287697
"LO",2007,0.211107617411787,0.0322243677662016,0.67654968616844
"LO",2008,0.327185516505781,0.0380453259997442,0.861489083889647
"LO",2009,0.396214601591455,0.0526790351765653,0.883654908222114
"LO",2010,0.0911917386632543,0.0118517113731532,0.425822250180302
"LO",2011,0.16889535972295,0.012423149700078,0.789065480948456
"LO",2012,0.330137641891339,0.0295924389868608,0.887720982218664
"LO",2013,0.111002117236526,0.0145219075609942,0.417441171736045
"LO",2014,0.22309493442141,0.022700355947705,0.69680849661913
"LO",2015,0.0416770821804651,0.00315699768787645,0.26232392701904
"LO",2016,0.293946382289297,0.0305324725253316,0.834678464259431
"LO",2017,0.088547198948134,0.0158486967670724,0.369583950827319
"LO",2018,0.199233172378858,0.0246860080765803,0.728839315635903
"LO",2019,0.46698243272208,0.153149466707577,0.828523443746587
"MC",2006,0.0323777980058313,0.00251191074519426,0.208894961224026
"MC",2007,0.126616272832409,0.0102431576565563,0.595604744750964
"MC",2008,0.126557897662037,0.0109402895562165,0.633248457973047
"MC",2009,0.253969990911504,0.027718014180068,0.789568704811145
"MC",2010,0.346731369871795,0.0411706269416089,0.863163457772266
"MC",2011,0.176789724931183,0.0390155593641099,0.52350342577937
"MC",2012,0.0119850305879632,0.000987395596590205,0.0801455801142328
"MC",2013,0.00383334238261194,0.000410618481470395,0.0244767140449399
"MC",2014,0.101933323063658,0.00628149668814182,0.599476075710581
"MC",2015,0.00896850022507626,0.000710544615901754,0.0758022436838893
"MC",2016,0.123228365838346,0.00997744166153605,0.619111539436498
"MC",2017,0.118185774611823,0.0185738595111533,0.491581913924781
"MC",2018,0.0796802288186758,0.00393070053214995,0.685088619874539
"MC",2019,0.13445826699037,0.0196895593808388,0.448347113537935
"OKRE",2006,0.0473480797122359,0.00558420753444136,0.352318812337147
"OKRE",2007,0.177092139873888,0.024667357848774,0.592249854525619
"OKRE",2008,0.275560565588795,0.0357189129854182,0.733971320148086
"OKRE",2009,0.224426058893251,0.0216320611434564,0.788114445940553
"OKRE",2010,0.328789033438034,0.0318504951342361,0.878007626925264
"OKRE",2011,0.323602563458272,0.0749603135534035,0.723438225179125
"OKRE",2012,0.113049075067859,0.0118647573603041,0.507990638622227
"OKRE",2013,0.0856915107389279,0.00788446294863703,0.410501933252827
"OKRE",2014,0.194846220902033,0.0213592200276757,0.671594470650336
"OKRE",2015,0.0768491521430559,0.00865298396756985,0.416473344200342
"OKRE",2016,0.124777933757632,0.0132682558642796,0.565261283646399
